"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         161,      -9.377930167,      -9.736666085,      -9.909494857,      -8.728969977
          0,           0,         162,       -9.38367935,      -9.737536008,      -9.913847758,      -8.731188505
          0,           0,         163,      -9.386493479,      -9.736091043,      -9.917597795,      -8.725442049
          0,           0,         164,      -9.400279198,      -9.748509823,       -9.92496017,      -8.749673413
          0,           0,         165,      -9.411041289,      -9.754271514,      -9.945654684,      -8.757486411
          0,           0,         166,      -9.420874834,      -9.757237896,      -9.946066312,      -8.759044032
          0,           0,         167,      -9.440897757,      -9.774886581,      -9.968146637,       -8.78885927
          0,           0,         168,      -9.458626711,       -9.78496099,      -9.986002835,      -8.803853816
          0,           0,         169,      -9.474109006,      -9.794379242,      -10.00269032,      -8.811601054
          0,           0,         170,      -9.500371549,      -9.816314459,      -10.02153445,      -8.846985228
          0,           0,         171,      -9.523397817,      -9.832539946,      -10.05204019,      -8.867684636
          0,           0,         172,      -9.546053873,       -9.84899528,      -10.06798722,      -8.882853129
          0,           0,         173,      -9.577074572,      -9.875936315,      -10.09806393,      -8.922659293
          0,           0,         174,      -9.606103104,      -9.898025959,       -10.1273395,      -8.949433247
          0,           0,         175,      -9.631695016,      -9.920287655,      -10.14965151,      -8.967978759
          0,           0,         176,      -9.663862218,       -9.95029034,      -10.17867789,      -9.008859221
          0,           0,         177,      -9.693099553,      -9.976117411,      -10.21217897,      -9.036121474
          0,           0,         178,      -9.721201162,        -10.001504,      -10.23943681,      -9.057336273
          0,           0,         179,      -9.755307356,      -10.03372715,      -10.26876771,      -9.100021192
          0,           0,         180,       -9.78863132,      -10.06245836,      -10.30996033,      -9.131437398
          0,           0,         181,      -9.826011875,      -10.09254034,      -10.34314289,      -9.161554284
          0,           0,         182,       -9.86792655,      -10.12951383,      -10.37909411,       -9.21164336
          0,           0,         183,      -9.911069425,      -10.16445577,      -10.42529069,      -9.252862572
          0,           0,         184,      -9.959652139,      -10.20285156,      -10.46714967,      -9.294291786
          0,           0,         185,      -10.00900531,      -10.24656496,      -10.51130597,      -9.351851515
          0,           0,         186,      -10.06107571,      -10.29049898,      -10.56343246,      -9.402218272
          0,           0,         187,      -10.11821795,      -10.33813485,       -10.6129133,      -9.452416244
          0,           0,         188,      -10.16973103,      -10.38806593,      -10.66429302,      -9.513191623
          0,           0,         189,      -10.22585172,       -10.4410279,      -10.71993525,      -9.567719077
          0,           0,         190,      -10.28570652,      -10.49662654,      -10.77206871,      -9.620516471
          0,           0,         191,      -10.33067417,      -10.55081097,      -10.82615899,      -9.677405047
          0,           0,         192,      -10.38266091,      -10.61114154,      -10.88002004,      -9.727552838
          0,           0,         193,      -10.43563647,      -10.67125251,      -10.92587079,      -9.772652994
          0,           0,         194,      -10.46323672,      -10.72508908,      -10.97317648,      -9.815757942
          0,           0,         195,       -10.4996355,      -10.78685716,      -11.01810124,      -9.849268599
          0,           0,         196,      -10.53404742,       -10.8405067,      -11.04544147,      -9.874086449
          0,           0,         197,      -10.54223853,      -10.88616062,      -11.08164918,      -9.899801748
          0,           0,         198,      -10.55902945,      -10.93034388,      -11.10338701,      -9.910780919
          0,           0,         199,      -10.57523748,      -10.96002819,      -11.10932832,       -9.91663451
          0,           0,         200,      -10.57414439,      -10.98493439,       -11.1298388,      -9.932253072
          0,           0,         201,      -10.58146824,      -11.00402523,      -11.13935758,      -9.933321947
          0,           0,         202,      -10.58903684,      -11.00830296,      -11.13426901,      -9.930247682
          0,           0,         203,      -10.58885318,      -11.01847619,      -11.14671127,      -9.944995502
          0,           0,         204,      -10.59460534,      -11.02214022,      -11.15406434,      -9.945159699
          0,           0,         205,      -10.60108611,      -11.01708686,      -11.14871476,      -9.941457034
          0,           0,         206,      -10.60607687,      -11.02484435,      -11.16011311,      -9.959850721
          0,           0,         207,      -10.61466448,      -11.02601433,      -11.17073942,      -9.963693482
          0,           0,         208,      -10.62422538,      -11.02294261,      -11.17012812,      -9.963655271
          0,           0,         209,      -10.63550635,      -11.03426446,      -11.18382396,      -9.987161553
          0,           0,         210,      -10.64861871,      -11.03902905,      -11.19945818,      -9.996257337
          0,           0,         211,      -10.66275708,      -11.04190619,      -11.20499267,      -10.00132673
          0,           0,         212,      -10.67996573,      -11.05831155,       -11.2221494,      -10.02987553
          0,           0,         213,      -10.69621364,      -11.06727295,      -11.23493329,      -10.04263414
          0,           0,         214,      -10.71297172,      -11.07577389,      -11.25370418,      -10.05112231
          0,           0,         215,      -10.73607777,      -11.09725159,        -11.273875,      -10.08477001
          0,           0,         216,      -10.75897371,      -11.11177622,      -11.29859718,      -10.10435184
          0,           0,         217,      -10.78310536,      -11.12680721,       -11.3157098,      -10.12017264
          0,           0,         218,      -10.80937222,      -11.15230895,      -11.33441618,      -10.15657418
          0,           0,         219,       -10.8351526,      -11.17287815,      -11.36951562,      -10.18004016
          0,           0,         220,      -10.86472516,      -11.19422661,      -11.39095854,        -10.201335
          0,           0,         221,      -10.89538102,      -11.22399814,      -11.41399215,      -10.24158214
          0,           0,         222,      -10.92511343,      -11.24925654,      -11.45188415,      -10.26923744
          0,           0,         223,      -10.95874409,      -11.27617201,       -11.4776847,       -10.2948325
          0,           0,         224,       -10.9929141,      -11.31000888,      -11.50503108,      -10.33837062
