"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        534,           9,      -8.201474726,      -4.638899624,      -5.462664136,      -2.563106024,      -4.244674535,      0.9329898399,      0.3041721382,      0.6177385565,                 0,                 0,                 0,     0.01864665227,      0.1102719875,      0.6796776461,                 0,       2.030884749,      0.8660080298,      -2.895710345,      -2.072446581,      -3.032642114,       -2.74931542,      -3.180304274,      0.9063329874,      0.3395917196,      0.8370298983,                 0,                 0,                 0,     0.09854926756,      0.0800293183,      0.8997426826,                 0,       2.388517064,       0.720496464,   0.0006242437583,    0.003501277319
        535,           9,      -8.211717928,      -4.677492828,      -5.266057826,      -2.547481927,      -4.293375542,      0.9329898399,      0.3051221919,      0.6290541651,                 0,                 0,                 0,     0.02361046631,      0.1078721646,      0.6907765852,                 0,       2.061646717,      0.8660080298,      -2.905470034,      -2.108928556,      -2.834710096,      -2.733422723,      -3.227023572,      0.9070734555,      0.3385516212,      0.8296246907,                 0,                 0,                 0,     0.09523083679,     0.08119974038,      0.8923569521,                 0,        2.37563379,       0.718122264,   0.0005974139534,    0.003823920282
        536,           9,      -8.244390479,      -4.730200324,      -5.214857564,      -2.571261035,      -4.300330773,      0.9329898399,      0.3068062295,      0.6438872121,                 0,                 0,                 0,     0.02978584215,      0.1051458546,      0.7054538636,                 0,       2.098677113,      0.8740035312,      -2.938138916,      -2.159832409,      -2.781510688,      -2.757160165,      -3.233450771,      0.9077738983,      0.3374036137,      0.8217326646,                 0,                 0,                 0,     0.09181981954,      0.0824093005,       0.884474125,                 0,       2.361867347,      0.7157728423,    0.000612460605,    0.004350198278
        537,           9,      -8.269601336,      -4.811977459,      -5.305582058,      -2.642437449,       -4.29245733,      0.9329898399,      0.3090119141,      0.6614947064,                 0,                 0,                 0,     0.03727150397,      0.1021072281,      0.7229368739,                 0,        2.14067703,      0.8740035312,      -2.963676299,      -2.239958418,       -2.86940193,      -2.828385927,      -3.225512356,      0.9084374757,       0.336170863,      0.8134809432,                 0,                 0,                 0,     0.08836009933,     0.08364298497,      0.8762225432,                 0,       2.347440598,      0.7135447859,   0.0006663134372,    0.005063784379
        538,           9,      -8.281484288,      -4.792592788,      -5.643227161,      -2.676996134,      -4.317721087,      0.9329898399,      0.3122055913,       0.682453941,                 0,                 0,                 0,     0.04606461399,     0.09903346967,      0.7439140304,                 0,       2.185911976,      0.8199868825,      -2.975672199,      -2.218830675,      -3.204042232,      -2.862815461,      -3.250103551,      0.9090670235,      0.3348750649,      0.8049900208,                 0,                 0,                 0,     0.08489174484,     0.08488631259,       0.867723779,                 0,       2.332571278,      0.7115348515,   0.0007555801495,    0.005879279683
        539,           9,      -8.295085014,      -4.753431546,       -5.51495491,      -2.687227954,      -4.332102813,      0.9329898399,      0.3164136354,       0.707065837,                 0,                 0,                 0,     0.05586458806,     0.09586182031,      0.7686808166,                 0,       2.234625053,      0.7973793545,      -2.988708552,      -2.177765305,      -3.073158299,      -2.872605391,      -3.263421559,      0.9096650939,      0.3335363185,      0.7963727296,                 0,                 0,                 0,     0.08145110429,     0.08612551515,      0.8590916109,                 0,       2.317469034,      0.7098311521,   0.0008766123357,    0.006570610346
        540,           9,      -8.298998936,      -4.761410239,      -5.225310506,      -2.675549361,      -4.363909301,      0.9329898399,      0.3211702491,      0.7335089216,                 0,                 0,                 0,     0.06664506507,     0.09267938287,      0.7953591635,                 0,       2.283863227,      0.8106832246,      -2.991393826,      -2.183898179,      -2.781556867,      -2.860328578,       -3.29435245,      0.9102339902,      0.3321731002,      0.7877336258,                 0,                 0,                 0,     0.07807098616,     0.08734769244,      0.8504314284,                 0,       2.302332904,      0.7085054419,    0.001000287642,    0.007137542324
        541,           9,      -8.307685534,      -4.792755802,      -5.281643024,      -2.655069228,      -4.344646749,      0.9329898399,      0.3268947914,      0.7630377486,                 0,                 0,                 0,     0.07767737893,     0.08952039635,      0.8252714154,                 0,       2.334199775,      0.7838456792,      -2.998733063,      -2.213759001,        -2.8363813,      -2.839414644,      -3.273198389,      0.9107757961,      0.3308023229,      0.7791687368,                 0,                 0,                 0,     0.07478088447,     0.08854094286,      0.8418400077,                 0,       2.287349276,      0.7076075935,    0.001101470963,    0.007582115669
        542,           9,      -8.304053188,      -4.857516433,      -5.351570051,      -2.654572859,      -4.340830454,      0.9329898399,      0.3326374004,      0.7925972731,                 0,                 0,                 0,     0.08903857485,     0.08636971209,      0.8552183056,                 0,       2.382766557,      0.7641136973,      -2.994341237,      -2.277447127,      -2.904619315,      -2.838888233,      -3.268722688,      0.9112924018,       0.329439446,      0.7707655685,                 0,                 0,                 0,     0.07160721489,     0.08969446582,      0.8334055513,                 0,       2.272690273,      0.7071641768,    0.001181035977,    0.007908236881
        543,           9,      -8.287743364,      -4.919021824,      -5.225802625,      -2.665954361,      -4.312550549,      0.9329898399,      0.3383539952,      0.8221475364,                 0,                 0,                 0,      0.1003622789,      0.0831968581,      0.8851487335,                 0,       2.429844329,      0.7790193542,      -2.978195791,      -2.338215806,      -2.776605542,      -2.850623934,      -3.241227153,      0.9117855254,      0.3280986059,      0.7626032869,                 0,                 0,                 0,     0.06857353176,     0.09079863421,      0.8252078989,                 0,       2.258512542,      0.7071798354,    0.001240091582,    0.008121277507
