"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         123,      -14.05354045,       -13.9387172,      -14.11647683
          0,           0,         124,      -14.02521756,       -13.8954403,       -14.1836533
          0,           0,         125,      -14.05749757,       -13.9315825,      -14.18143861
          0,           0,         126,      -14.04061066,      -13.93416259,      -14.18546559
          0,           0,         127,      -14.07248524,      -13.95333425,      -14.22707776
          0,           0,         128,      -14.03375936,      -13.91139412,      -14.13559437
          0,           0,         129,      -14.12786442,      -13.99910044,      -14.23318012
          0,           0,         130,      -14.10050905,      -13.97607567,      -14.16948425
          0,           0,         131,      -14.04271591,      -13.91128715,       -14.1154156
          0,           0,         132,      -14.06432461,      -13.93921099,      -14.20952137
          0,           0,         133,      -14.02977739,      -13.90899685,      -14.17439985
          0,           0,         134,      -14.04763751,      -13.92582618,      -14.16578983
          0,           0,         135,      -13.97563283,      -13.85992107,      -14.08738861
          0,           0,         136,      -14.08942852,      -13.98297647,      -14.13905316
          0,           0,         137,      -14.05991268,      -13.92712797,      -14.17296037
          0,           0,         138,      -14.05480044,      -13.91383251,      -14.13546873
          0,           0,         139,      -14.05079421,      -13.90962994,      -14.12507477
          0,           0,         140,      -14.05541952,      -13.91543204,      -14.12920025
          0,           0,         141,      -14.00359448,      -13.86735651,      -14.09644167
          0,           0,         142,      -14.00923444,      -13.88513028,      -14.07824543
          0,           0,         143,      -13.98273203,      -13.87035732,      -14.11524384
          0,           0,         144,      -14.08520635,      -13.99422863,      -14.20628625
          0,           0,         145,      -14.13516944,      -14.00890135,       -14.2221321
          0,           0,         146,      -13.99575316,      -13.87589888,      -14.14812532
          0,           0,         147,      -14.01559044,      -13.88807999,      -14.18940875
          0,           0,         148,       -14.0675674,      -13.95447499,      -14.19909781
          0,           0,         149,      -14.01293389,      -13.90708332,      -14.13968808
          0,           0,         150,      -14.03946673,      -13.92467262,      -14.15923926
          0,           0,         151,      -14.08138364,        -13.951587,       -14.1723788
          0,           0,         152,      -14.09036187,      -13.95919591,      -14.20327761
          0,           0,         153,      -13.96108025,      -13.83600952,      -14.13422481
          0,           0,         154,      -14.03036658,      -13.89574602,      -14.14476359
          0,           0,         155,      -14.04003535,      -13.92434356,      -14.16283875
          0,           0,         156,      -14.09308734,      -13.96471369,      -14.16535834
          0,           0,         157,      -14.02717529,       -13.9009236,      -14.08752544
          0,           0,         158,      -14.00502747,      -13.88933416,      -14.16395671
          0,           0,         159,      -14.03609223,      -13.90655729,      -14.14550054
          0,           0,         160,      -13.98018702,      -13.86763514,      -14.14123205
          0,           0,         161,      -13.99928958,      -13.87695273,      -14.12822309
          0,           0,         162,      -14.10465418,      -13.97730332,      -14.18907987
          0,           0,         163,      -14.07384018,      -13.95354262,      -14.11988516
          0,           0,         164,      -13.98169307,       -13.8457894,      -14.16323473
          0,           0,         165,      -14.00930192,      -13.88638507,      -14.14984016
          0,           0,         166,      -14.10885994,      -13.94873113,      -14.11732895
          0,           0,         167,      -13.99629931,      -13.87852407,      -14.06437164
          0,           0,         168,      -13.98085427,      -13.86933485,      -14.09692941
          0,           0,         169,      -14.01947382,        -13.907162,      -14.12405564
          0,           0,         170,      -14.03156854,      -13.90038789,      -14.14654747
          0,           0,         171,      -14.08490454,      -13.98041103,       -14.1505172
          0,           0,         172,      -13.97934113,      -13.86132233,      -14.12890105
          0,           0,         173,      -14.11062842,      -14.01101271,      -14.20640717
          0,           0,         174,      -13.97129727,      -13.85309959,      -14.18087298
          0,           0,         175,      -14.07469334,       -13.9596576,      -14.16821299
          0,           0,         176,      -14.01197437,      -13.90669996,      -14.14477747
          0,           0,         177,      -14.02761844,      -13.91407447,      -14.11036905
          0,           0,         178,      -14.08379386,      -13.96204808,      -14.14744783
          0,           0,         179,      -13.99271069,      -13.88270255,      -14.18010102
          0,           0,         180,      -13.99808365,       -13.8773056,      -14.15058112
          0,           0,         181,       -14.0508811,      -13.91909726,      -14.20077915
          0,           0,         182,      -14.05392469,      -13.92619343,      -14.20695821
          0,           0,         183,      -14.10549179,      -13.97684643,      -14.16420539
          0,           0,         184,      -14.08100951,      -13.92700801,      -14.17564009
          0,           0,         185,      -14.06733882,      -13.92818167,      -14.14011347
          0,           0,         186,      -14.00852649,      -13.88591869,      -14.15631171
          0,           0,         187,      -14.04754917,       -13.9272954,      -14.14551383
          0,           0,         188,      -14.10203048,      -13.97206449,      -14.18698633
          0,           0,         189,      -14.07174644,      -13.93944135,      -14.11403618
          0,           0,         190,      -14.01354471,      -13.87804209,      -14.12655552
          0,           0,         191,      -14.02257068,      -13.90067135,      -14.15173067
          0,           0,         192,      -14.02514904,      -13.89492227,      -14.12890658
          0,           0,         193,      -14.03793891,       -13.9051502,      -14.14996064
          0,           0,         194,       -14.0512418,      -13.93375496,       -14.2018123
          0,           0,         195,      -14.11190761,      -14.00615489,      -14.20867091
          0,           0,         196,      -14.06495686,      -13.92164349,      -14.16235921
          0,           0,         197,      -14.05783097,      -13.92627303,      -14.10875146
          0,           0,         198,      -13.99208951,      -13.87127165,       -14.1200688
          0,           0,         199,       -14.0525697,      -13.93029861,      -14.17779941
          0,           0,         200,      -14.09581988,      -13.96652342,      -14.16389235
          0,           0,         201,      -14.14712138,      -14.00311109,      -14.25675878
          0,           0,         202,      -14.08957826,      -13.95896874,      -14.18333046
          0,           0,         203,      -14.03121595,      -13.90323702,      -14.12535399
          0,           0,         204,      -14.02721764,      -13.91319169,      -14.13869469
          0,           0,         205,      -14.09722771,      -13.97038035,      -14.15249978
          0,           0,         206,       -14.1430834,       -14.0354364,      -14.22654691
          0,           0,         207,      -14.07684163,      -13.93305392,      -14.12798728
          0,           0,         208,      -14.03297866,      -13.91498929,      -14.12707937
          0,           0,         209,      -14.02246784,      -13.92093662,      -14.18174054
