Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
47,0.971692,0,2.78975,-0,6.06527e-08,0,0,0,0,0,0,0.384584,0.65,-0.0125112,0.755355,1.1159,0.204767,0.00378863,0.000220469,-0.0019217,0.00425385,1.13309,0,0,0,0,1.79888
48,1.08994,0,3.13762,-0,6.07738e-08,0,0,0,0,0,0,0.380151,0.65,-0.00931665,0.753061,1.25505,0.483068,0.00289136,0.000799525,-0.00210565,0.0036651,1.1361,0,0,0,0,1.76599
49,1.10168,0,3.1722,-0,6.07862e-08,0,0,0,0,0,0,0.379715,0.65,-0.00899051,0.752837,1.26888,0.510728,0.0027992,0.000857472,-0.00211829,0.00361358,1.13641,0,0,0,0,1.76156
50,0.551347,0,1.56137,-0,6.0027e-08,0,0,0,0,0,0,0.447947,0.65,0.0233504,0.789748,0.62455,-0.777933,0.00345895,-0.000257158,0.000343105,0.00348543,1.11762,0,0,0,0,1.23869
51,0.566544,0,1.60512,-0,6.00489e-08,0,0,0,0,0,0,0.457652,0.65,0.024281,0.795321,0.642048,-0.742935,0.00340618,-0.000218056,0.000296624,0.00342602,1.11816,0,0,0,0,1.24507
52,0.80685,0,2.30479,-0,6.04219e-08,0,0,0,0,0,0,0.526245,0.65,-0.0283931,0.836803,0.921915,-0.183203,0.00335673,-0.000122209,-0.000131833,0.00336154,1.12737,0,0,0,0,1.46275
53,0.819485,0,2.34277,-0,6.04586e-08,0,0,0,0,0,0,0.49694,0.65,-0.0269493,0.818643,0.937109,-0.152815,0.00340217,-0.000102028,-0.000190938,0.00340905,1.12828,0,0,0,0,1.48365
54,0.806065,0,2.30243,-0,6.04197e-08,0,0,0,0,0,0,0.528013,0.65,-0.02848,0.837919,0.920972,-0.185088,0.00335385,-0.000123432,-0.000128257,0.00335857,1.12732,0,0,0,0,1.46144
55,0.806266,0,2.30303,-0,6.04202e-08,0,0,0,0,0,0,0.527594,0.65,-0.0284603,0.837655,0.921213,-0.184606,0.00335466,-0.000123146,-0.000129116,0.0033594,1.12733,0,0,0,0,1.46179
56,0.965797,0,2.7665,-0,6.05485e-08,0,0,0,0,0,0,0.964542,0.65,0.00326201,1.16312,1.1066,0.18617,0.000727119,0.000260228,-8.54653e-05,0.000776998,1.13051,0,0,0,0,0.767655
57,0.967519,0,2.77198,-0,6.05575e-08,0,0,0,0,0,0,0.966196,0.65,0.00304552,1.16449,1.10879,0.190549,0.000709697,0.000261715,-8.31742e-05,0.000760975,1.13073,0,0,0,0,0.760403
58,0.862268,0,2.45736,-0,6.03158e-08,0,0,0,0,0,0,0.854802,0.65,-0.0156906,1.07398,0.982944,-0.0611446,0.00222967,9.10129e-05,0.000209081,0.0022413,1.12475,0,0,0,0,1.23674
59,0.85634,0,2.44,-0,6.03073e-08,0,0,0,0,0,0,0.843995,0.65,-0.0167353,1.06541,0.976002,-0.0750287,0.0022708,8.16846e-05,0.00020747,0.00228172,1.12454,0,0,0,0,1.24388
60,0.788102,0,2.24794,-0,6.03553e-08,0,0,0,0,0,0,0.579825,0.65,-0.0298629,0.871544,0.899175,-0.228681,0.0032526,-0.000142001,-3.12011e-05,0.00325585,1.12572,0,0,0,0,1.42431
61,0.792872,0,2.26267,-0,6.03777e-08,0,0,0,0,0,0,0.564407,0.65,-0.0294881,0.861351,0.905066,-0.216899,0.00329027,-0.000137052,-6.34998e-05,0.00329374,1.12628,0,0,0,0,1.43641
