"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          38,      -6.123619165,      -6.282284249,      -6.445318551,      -6.291411193,      -5.511623505,      -11.26856471
          0,           0,          39,      -6.168932103,      -6.335941186,      -6.486427669,      -6.325921965,      -5.557682035,      -11.29147414
          0,           0,          40,      -6.213257688,       -6.38868228,      -6.522763117,        -6.3606195,      -5.602539531,       -11.3180959
          0,           0,          41,      -6.257283944,      -6.439417868,      -6.552117048,      -6.394431924,      -5.646742394,      -11.34708781
          0,           0,          42,      -6.301675099,      -6.487055042,      -6.574469544,      -6.426169343,      -5.690948759,      -11.37683864
          0,           0,          43,      -6.346784364,       -6.53066765,       -6.59216958,      -6.455260782,      -5.735611929,      -11.40579585
          0,           0,          44,      -6.392681568,      -6.569805754,      -6.609052853,      -6.482429183,      -5.780950555,      -11.43261876
          0,           0,          45,      -6.439028053,      -6.604830646,      -6.628357463,      -6.509088046,      -5.826780444,       -11.4561686
          0,           0,          46,       -6.48530551,      -6.636653879,      -6.652469453,      -6.537018484,      -5.872673238,      -11.47545601
          0,           0,          47,      -6.531055159,      -6.666506385,       -6.68278534,      -6.567844616,      -5.918234492,       -11.4901437
          0,           0,          48,      -6.575911226,      -6.695333534,      -6.719912097,       -6.60264322,      -5.963163292,      -11.50048274
          0,           0,          49,      -6.619702676,      -6.723550792,      -6.763837668,      -6.641840313,      -6.007317141,      -11.50690013
          0,           0,          50,      -6.662454511,      -6.750977829,        -6.8140241,      -6.685151029,      -6.050687424,      -11.50988081
          0,           0,          51,      -6.704382654,       -6.77711847,      -6.869412567,      -6.731691965,      -6.093399747,      -11.51009873
          0,           0,          52,      -6.745743559,      -6.801333204,      -6.928320354,      -6.780018111,      -6.135607738,      -11.50824594
          0,           0,          53,      -6.786774283,      -6.822980679,      -6.988270077,      -6.828259761,      -6.177474116,      -11.50501589
