"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         155,      -7.167761228,       -6.50823636,      -7.386414053,      -7.455523264,      -6.564482704,      -9.544781598
          0,           0,         156,       -7.17273334,      -6.511351574,      -7.394529022,      -7.465486918,      -6.569451784,      -9.544410066
          0,           0,         157,      -7.178131892,        -6.5144966,      -7.402446097,      -7.475209568,      -6.574846451,      -9.544056367
          0,           0,         158,      -7.183868027,      -6.517654488,      -7.410220946,      -7.484771219,        -6.5805915,      -9.543722454
          0,           0,         159,       -7.18983669,      -6.520807238,      -7.417917032,      -7.494273083,      -6.586591297,      -9.543409537
          0,           0,         160,      -7.195921402,       -6.52393604,      -7.425596986,      -7.503823611,      -6.592733679,      -9.543117171
          0,           0,         161,      -7.202000211,      -6.527022449,      -7.433316104,      -7.513524229,       -6.59889576,      -9.542844799
          0,           0,         162,      -7.207951582,      -6.530049036,      -7.441115881,      -7.523456566,      -6.604950361,      -9.542592439
          0,           0,         163,      -7.213660601,      -6.533000091,      -7.449020075,      -7.533673331,      -6.610773493,       -9.54235881
          0,           0,         164,      -7.219024711,      -6.535862424,      -7.457033401,      -7.544194064,      -6.616251791,      -9.542142355
          0,           0,         165,      -7.223958922,      -6.538626106,      -7.465142506,      -7.555004773,      -6.621289648,      -9.541942609
          0,           0,         166,      -7.228399693,      -6.541284447,      -7.473319025,      -7.566062035,      -6.625814968,      -9.541758498
          0,           0,         167,      -7.232304443,      -6.543834253,      -7.481524169,       -7.57729991,      -6.629779749,      -9.541587883
          0,           0,         168,       -7.23565994,      -6.546275763,      -7.489713883,      -7.588642994,      -6.633170178,      -9.541428314
          0,           0,         169,      -7.238475043,      -6.548612601,       -7.49784484,      -7.600009467,       -6.63599805,      -9.541277799
          0,           0,         170,      -7.240779411,      -6.550851528,      -7.505879877,      -7.611326637,      -6.638299187,      -9.541134941
          0,           0,         171,      -7.242620455,      -6.553001844,      -7.513791468,      -7.622541316,      -6.640129244,      -9.540998146
          0,           0,         172,      -7.244060256,      -6.555074966,      -7.521563556,      -7.633623993,      -6.641559178,      -9.540866822
          0,           0,         173,      -7.245170794,      -6.557083764,      -7.529192003,       -7.64456848,        -6.6426687,      -9.540740725
          0,           0,         174,      -7.246030118,      -6.559041915,      -7.536683009,      -7.655393617,      -6.643541608,      -9.540618924
          0,           0,         175,      -7.246718731,        -6.5609632,      -7.544049665,      -7.666136198,      -6.644261521,      -9.540500313
          0,           0,         176,      -7.247316398,      -6.562861217,      -7.551308305,      -7.676842717,      -6.644908483,      -9.540384744
          0,           0,         177,      -7.247899352,      -6.564748789,      -7.558474571,      -7.687560024,      -6.645556485,      -9.540271638
          0,           0,         178,      -7.248537929,      -6.566637528,       -7.56556022,      -7.698326793,       -6.64627173,      -9.540161074
          0,           0,         179,       -7.24929464,      -6.568537541,      -7.572570911,      -7.709166718,      -6.647111511,      -9.540053612
          0,           0,         180,      -7.250222567,      -6.570457155,      -7.579505293,      -7.720084304,      -6.648123461,      -9.539950208
          0,           0,         181,      -7.251364083,      -6.572402745,      -7.586355327,      -7.731063336,      -6.649345015,      -9.539851273
          0,           0,         182,      -7.252750377,      -6.574378606,      -7.593108403,      -7.742070182,       -6.65080353,      -9.539757544
          0,           0,         183,      -7.254400532,      -6.576386945,      -7.599749748,      -7.753058311,      -6.652515659,       -9.53966977
          0,           0,         184,      -7.256321611,       -6.57842795,      -7.606265342,      -7.763975605,      -6.654487541,      -9.539588808
          0,           0,         185,       -7.25850895,      -6.580500083,      -7.612644923,      -7.774772759,      -6.656714966,      -9.539515908
          0,           0,         186,      -7.260946635,      -6.582599835,       -7.61888384,      -7.785410723,      -6.659183569,      -9.539451675
          0,           0,         187,      -7.263608623,      -6.584722246,       -7.62498448,      -7.795866705,      -6.661869591,      -9.539396732
          0,           0,         188,      -7.266460013,      -6.586861121,      -7.630956497,      -7.806138108,      -6.664740636,       -9.53935175
          0,           0,         189,      -7.269458831,      -6.589009396,      -7.636815829,      -7.816242534,      -6.667757058,      -9.539317283
